Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
"Create education and incentive programs to encourage sustainable food production techniques that preserve soil and water quality. Example techniques include the use of perennial crops, diversified farming systems, precision agriculture and re-contouring field elevations. ",Water Quality,Agriculture and Food Supply,Public Education & Outreach,Community Engagement,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Create emergency communication plans and tools to quickly and effectively save water during a shortage. ,Drought,"Water Infrastructure – Drinking Water,People",Planning & Management,Planning,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Create financing incentives that would encourage local businesses, building managers and owners to regularly conduct maintenance that includes checks for water losses, such as checking for leaky pipes and faucets. Increasing water use efficiency can prevent or alleviate drought impacts.",Drought,Property,Funding & Finance,Financing & Incentives,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Create future flood maps to support planning, policy and regulation. The flood maps should show the extent and depth of future flooding. They might include indications of wave action, moving water and channelization hazards. The future flood maps should be based on the latest climate projections.",Flooding – General,Multiple or All Assets,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Climate Ready Boston - Resilience Initiatives,https://www.boston.gov/sites/default/files/imce-uploads/2017-01/crb_-_focus_area_ri.pdf,https://toolkit.climate.gov/case-studies/climate-ready-boston-resilience-initiatives-1
Create green infrastructure incentives or requirements for new development.,Flooding – Rainfall-induced,Natural Areas and Wildlife,Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Create incentives for developers to maintain riparian corridors.,"Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced","Urban Landscape and Tree Canopy,Water Infrastructure – Wastewater,Natural Areas and Wildlife",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Create metrics for all new development that emphasize resilience through open and green space.,Multiple or All Hazards,"Natural Areas and Wildlife,Property",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Cleveland Climate Action Plan,https://d3n8a8pro7vhmx.cloudfront.net/sustainablecleveland/pages/149/attachments/original/1461798511/Cleveland_Climate_Action_Plan.pdf?1461798511,https://toolkit.climate.gov/case-studies/cleveland-climate-action-plan-1
"Create new degree programs in forestry, criminal justice and computer technology. ",Wildfire,Economy,Public Education & Outreach,Education,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Create or expand a program that provides energy retrofits for public housing. ,"Severe Winter Weather,Extreme Heat",Property,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Create or expand a program to give out space heaters. Ensure the program educates recipients about space heaters' impact on utility bills.,"Severe Winter Weather,Extreme Cold",People,Public Education & Outreach,Education,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Create or update a community water plan to accommodate variability in well water quality.,"Water Quality,Drought",Aquatic and Marine Resources,,,"Climate Change in Port Heiden, AK",https://anthc.org/wp-content/uploads/2018/10/ANTHC-Port-Heiden_Final.pdf,https://toolkit.climate.gov/case-studies/climate-change-port-heiden-ak-1
Create or update a trails master plan to account for climate change impacts such as increased erosion due to precipitation or sea level rise. ,"Multiple or All Hazards,Erosion and Shoreline Recession","Aquatic and Marine Resources,Natural Areas and Wildlife",Planning & Management,Planning,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
Create outreach program about cooling centers. Include information on where to go and how to decide when to go.,Extreme Heat,People,Public Education & Outreach,Community Engagement,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Create overlay districts with that require specific erosion control measures.,Erosion and Shoreline Recession,Property,"""Land Use, Land Conservation, & Zoning""",Land Use Practice,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Create policies to increase shade in parking lots by using more and larger shade trees based on best practices.,Extreme Heat,Urban Landscape and Tree Canopy,Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Create resilient flood control systems. ,Flooding – General,Multiple or All Assets,Capital Improvements - Green & Gray Infrastructure,"""Flood barriers, dams, and levees""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Create specific climate-informed Low Impact Development regulations and require use in all new or re-development.,Multiple or All Hazards,Property,"""Land Use, Land Conservation, & Zoning""",Low Impact Development (LID),Washington Coast Resilience Action Demonstration Project,https://wacoastalnetwork.com/resilience-action-demonstration-project/,https://toolkit.climate.gov/case-studies/washington-coast-resilience-action-demonstration-project-1
Create technology for real-time feedback about water supply to customers.,Drought,Water Infrastructure – General,Capacity Building,"""Monitoring, Inspection and Maintenance""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Create updated local flood maps to support planning, policy, and regulation.",Flooding – General,Multiple or All Assets,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Climate Ready Boston - Resilience Initiatives,https://www.boston.gov/sites/default/files/imce-uploads/2017-01/crb_-_focus_area_ri.pdf,https://toolkit.climate.gov/case-studies/climate-ready-boston-resilience-initiatives-1
Creating community spaces where meetings and movement-building activities can occur. ,Multiple or All Hazards,People,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Cleveland Climate Action Plan,https://d3n8a8pro7vhmx.cloudfront.net/sustainablecleveland/pages/149/attachments/original/1461798511/Cleveland_Climate_Action_Plan.pdf?1461798511,https://toolkit.climate.gov/case-studies/cleveland-climate-action-plan-1
Creation or identification of alternative recreation sites,Erosion and Shoreline Recession,Property,Planning & Management,Planning,"Climate Change in Port Heiden, AK",https://anthc.org/wp-content/uploads/2018/10/ANTHC-Port-Heiden_Final.pdf,https://toolkit.climate.gov/case-studies/climate-change-port-heiden-ak-1
Decentralize energy supplies and energy storage capacity to improve energy independence.,Multiple or All Hazards,Energy and Utilities,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Define steep slope and areas at high risk of landslides in land use and comprehensive plans. ,"Landslides,Erosion and Shoreline Recession",Multiple or All Assets,"""Land Use, Land Conservation, & Zoning""",Land Use Practice,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Design and construct additional Capital Improvements - Green & Gray Infrastructure to provide a reliable water supply to 1.7 million customers. ,Drought,Water Infrastructure – Drinking Water,Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,"Phoenix, AZ Climate Action Plan",https://www.phoenix.gov/oepsite/Documents/2021ClimateActionPlanEnglish.pdf,https://toolkit.climate.gov/case-studies/phoenix-az-climate-action-plan-1
"Design of built environment, tree canopy, transportation (how to move). Opening community centers, education, water, building social/community plans, how elders work within community neighbor networks. >>design of built environment and increase tree canopy",Extreme Heat,Urban Landscape and Tree Canopy,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Design policies and incentives for private landowners, businesses and landlords to plant native species and reduce the use of fossil fuel derived fertilizers and pesticides. ","""Shifting Species, Habitats, and Ecosystems"",Water Quality","Natural Areas and Wildlife,Property","""Policy, Codes, & Standards""",Building Codes,"Providence, RI Climate Justice Plan",https://www.providenceri.gov/wp-content/uploads/2019/10/Climate-Justice-Plan-Report-FINAL-English-1.pdf,https://toolkit.climate.gov/case-studies/providence-ri-climate-justice-plan-1
"Design program incentives for landlords to install rain-capturing devices (e.g., rain barrels, cisterns) for onsite irrigation and to promote groundwater recharge at public facilities.","Drought,Flooding – General","Urban Landscape and Tree Canopy,Water Infrastructure – General,Property,Water Infrastructure – Stormwater",Funding & Finance,Financing & Incentives,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Design program policies to promote stream and wetland restoration. Ensure adequate retention, drainage and diversion of stormwater. Such policies could also encourage green infrastructure such as grassy areas along roadsides or other actions to absorb or retain stormwater. ","Flooding – Coastal,Flooding – General","Urban Landscape and Tree Canopy,Water Infrastructure – Wastewater,Water Infrastructure – Stormwater",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""",HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Design roadways, bridges and utilities with protective measures (e.g., elevate bridges, build protective berms) to account for future flooding projections. ",Flooding – General,Transportation and Mobility,Capital Improvements - Green & Gray Infrastructure,Elevate Roads,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Designate a full-time position for floodplain management. The position would manage Community Rating System activities, outreach and education, coordinating with surrounding jurisdictions and working with residents.","Flooding – Coastal,Flooding – General",Multiple or All Assets,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
"Designate adaptation action areas, restoration areas and growth areas as a priority-setting tool for vulnerable areas. Designating these areas can guide people and commerce to less vulnerable places in the region.","Multiple or All Hazards,Flooding – General",Multiple or All Assets,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
"Designate an individual to regularly report to the Climate Resiliency Task Force on forest health, in order to assist with early identification of wildfire risk, changes to wildlife patterns, dangers to public health and disruptions in recreational opportunities that may affect tourism activities.",Wildfire,Natural Areas and Wildlife,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Designate ecologically important areas as “permanent natural features.” ,"""Shifting Species, Habitats, and Ecosystems""","Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife","""Land Use, Land Conservation, & Zoning""",Land Use Practice,Detroit Climate Action Plan,https://detroitenvironmentaljustice.org/wp-content/uploads/2017/10/CAP_WEB.pdf,https://toolkit.climate.gov/case-studies/detroit-climate-action-plan-1
Designate public cooling shelters for extreme heat events,Extreme Heat,People,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Denver, CO Climate Action Plan",https://denvergov.org/files/assets/public/climate-action/cpf_fiveyearplan_final.pdf,https://toolkit.climate.gov/case-studies/denver-co-climate-action-plan-0
"Designate public cooling shelters for extreme heat events within municipal and county facilities (e.g., library, community centers) and with partners (e.g., non-profits, faith-based organizations).",Extreme Heat,Critical Facilities,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Designate the flood zone as green space that can be used for trails and recreation or to augment small scale agriculture or flood water retention.,"Flooding – Coastal,Flooding – General","Agriculture and Food Supply,Urban Landscape and Tree Canopy,Water Infrastructure – Wastewater,Natural Areas and Wildlife",,,"City of Alexandria, Virginia Energy & Climate Change Action Plan",https://www.alexandriava.gov/energy/energy-and-climate-change-action-plan,https://toolkit.climate.gov/case-studies/city-alexandria-virginia-energy-climate-change-action-plan-1
"Determine frontline communities' access to opportunity of all types, including education, economic health, housing and neighborhood quality, health, natural environment and parks, and mobility and transportation.",Multiple or All Hazards,People,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Puget Sound Regional Council Climate Change and Resilience Guidance,https://www.psrc.org/media/6869,https://toolkit.climate.gov/case-studies/puget-sound-regional-council-climate-change-and-resilience-guidance-1
"Determine if alternative, acute-drought solutions, such as trucking potable water to rural users, are adequate given the projected frequency of severe drought events.",Drought,People,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Tompkins County, NY Resiliency and Recovery Plan",https://www.tompkinscountyny.gov/files2/planning/Climate_Adaptation/RRP_Full_Plan_Updated_9_27_22.pdf,https://toolkit.climate.gov/case-studies/tompkins-county-ny-resiliency-and-recovery-plan-1
"Determine the cost sharing structure for capital investment, water rates, ownership, and operation and maintenance, etc.",Drought,People,Funding & Finance,Funding,"Tompkins County, NY Resiliency and Recovery Plan",https://www.tompkinscountyny.gov/files2/planning/Climate_Adaptation/RRP_Full_Plan_Updated_9_27_22.pdf,https://toolkit.climate.gov/case-studies/tompkins-county-ny-resiliency-and-recovery-plan-1
Determine the economic impact of climate impacts on critical elements of the economy.,Multiple or All Hazards,Economy,,,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
"Determine the economic impact of water management on critical elements of the economy, including agriculture, tourism and marine industries.","Water Quality,Drought,Flooding – Coastal,Flooding – General","Agriculture and Food Supply,Aquatic and Marine Resources,Economy",,,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Determine what the thresholds are to indicate when a heat and humidity (heat index) alert may be triggered,Extreme Heat,People,"""Health, Wellness, & Security""",Public Health,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Determine where medical needs are (e.g. dialysis) and how to notify public of droughts.,Drought,People,"""Health, Wellness, & Security""",Public Health,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Develop a buyouts program to acquire residential properties and local businesses that experience repetitive flood losses. ,Flooding – General,Property,"""Managed Retreat, Relocation, & Buyout""",Relocation,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Develop a central web portal that is dedicated to all items related to flooding.,Flooding – General,Multiple or All Assets,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Develop a climate preparedness outreach program focused on vulnerable populations. The program should provide information on staying healthy and safe during hazardous events.,Multiple or All Hazards,People,"""Health, Wellness, & Security""",Public Health,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Develop a coastal management plan to protect park infrastructure and natural resources.,"Erosion and Shoreline Recession,Flooding – Coastal","Aquatic and Marine Resources,Natural Areas and Wildlife",Planning & Management,Planning,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Develop a coastal management plan to protect park infrastructure and natural resources. Ensure the plan considers the residents, visitors and historic and cultural resources in coastal areas. ","Erosion and Shoreline Recession,Flooding – Coastal","Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife",Planning & Management,Planning,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Develop a community-wide communications and outreach program on how to prepare and recover from climate hazards. The program may focus on a target population or a target hazard, or may be more broad.",Multiple or All Hazards,Multiple or All Assets,Public Education & Outreach,Education,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Develop a comprehensive maintenance and training program for local government employees at facilities with backup generators to ensure proper placement, hook-up and function during hazard events.","High Winds,Severe Winter Weather,Wildfire,Extreme Heat,Flooding – Coastal,Flooding – General","Critical Facilities,Energy and Utilities,Property",Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""",City of Baltimore Disaster Preparedness and Planning Project,https://www.baltimoresustainability.org/wp-content/uploads/2019/10/2018-DP3-For-Print.pdf,https://toolkit.climate.gov/case-studies/city-baltimore-disaster-preparedness-and-planning-project-1
Develop a comprehensive plan to prepare for higher temperatures and more frequent extreme heat.,Extreme Heat,People,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Los Angeles, CA Resilience Strategy",https://resilientcitiesnetwork.org/downloadable_resources/Network/Los-Angeles-Resilience-Strategy-English.pdf,https://toolkit.climate.gov/case-studies/los-angeles-ca-resilience-strategy-0
Develop a coordination plan to clear roads from debris after disasters. ,"High Winds,Landslides,Severe Winter Weather,Wildfire,Flooding – Coastal,Flooding – General",Transportation and Mobility,Capacity Building,Operations,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Develop a debris management plan. After a flood, coordinate local and contract resources to clear streets of debris in accordance with established objectives and priorities.",Flooding – General,Multiple or All Assets,Partnerships & Collaboration,Partnerships,"Tompkins County, NY Resiliency and Recovery Plan",https://www.tompkinscountyny.gov/files2/planning/Climate_Adaptation/RRP_Full_Plan_Updated_9_27_22.pdf,https://toolkit.climate.gov/case-studies/tompkins-county-ny-resiliency-and-recovery-plan-1
Develop a design methodology for stormwater improvement projects that incorporates climate impact projections and regional development forecasts. ,Multiple or All Hazards,"Property,Water Infrastructure – Stormwater",,,Resilient Houston,https://www.houstontx.gov/mayor/Resilient-Houston-20200402-single-page.pdf,https://toolkit.climate.gov/case-studies/resilient-houston-0
"Develop a drought communication and public information campaign. Use the campaign to facilitate timely communication of relevant information to building owners and managers, developers and the public. Work with officials, decision-makers and emergency managers to ensure the message and plans align. ",Drought,"Multiple or All Assets,People",Public Education & Outreach,Community Engagement,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Develop a fire risk assessment for all new development within fire hazard severity zones or the wildland-urban interface (WUI).,Wildfire,Property,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Develop a fire risk assessment for all new development within fire hazard severity zones or the wildland-urban interface (WUI). The WUI is the zone of transition between unoccupied land and human development.,Wildfire,"Critical Facilities,Property",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Develop a flood early warning system that uses gauges in strategic locations to monitor water levels. The system would provide alerts when roads may be flooding. Use the system to let people know when to evacuate. The system could show real time data for residents and decision makers.,"Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Preparedness & Response,Early warning,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Develop a formal parking plan when there is a chance of flooding. Include appropriate signage on streets.,"Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Planning & Management,Planning,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Develop a free rain garden program using fees and grants that provides materials and training.,"Flooding – General,Flooding – Rainfall-induced","Urban Landscape and Tree Canopy,Natural Areas and Wildlife,Water Infrastructure – Stormwater",Funding & Finance,Financing & Incentives,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Develop a land bank program to preserve the natural and beneficial functions of flood hazard areas. ,"Flooding – Coastal,Flooding – General","Water Infrastructure – Wastewater,Natural Areas and Wildlife",Funding & Finance,Financing & Incentives,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Develop a local forest management taskforce comprised of of forestry and fire management professionals, local government stakeholders, private businesses, local community members and non-profits. The task force would be responsible for managing fuel loads, thinning, brush removal and prescribed burns and for considering the indirect impacts on residents and businesses in the community. ",Wildfire,"Agriculture and Food Supply,Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Economy,Natural Areas and Wildlife,Property",Partnerships & Collaboration,Partnerships,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Develop a local forest management taskforce to manage fuel loads, thinning, brush removal, and prescribed burns",Wildfire,Natural Areas and Wildlife,Preparedness & Response,Prescribed Fire & Fuel Management,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Develop a local funding mechanism (e.g., gas tax or tax increment financing) to provide dollars towards non-capacity transportation projects.","Air Quality,High Winds,Landslides,Severe Winter Weather,Extreme Heat,Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Funding & Finance,Funding,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Develop a monitoring program for insect infestation and disease outbreaks.,"Multiple or All Hazards,Vector-Borne Disease","Agriculture and Food Supply,Water Infrastructure – Wastewater,Natural Areas and Wildlife",Capacity Building,"""Monitoring, Inspection and Maintenance""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Develop a new water source that benefits the commercial activity of the community as well as community health and safety.,"Water Quality,Drought","Water Infrastructure – Drinking Water,Economy",Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,"Climate Change in Port Heiden, AK",https://anthc.org/wp-content/uploads/2018/10/ANTHC-Port-Heiden_Final.pdf,https://toolkit.climate.gov/case-studies/climate-change-port-heiden-ak-1
Develop a notification system for natural hazards that is responsive to community needs.,"Air Quality,High Winds,Landslides,Multiple or All Hazards,Severe Winter Weather,Water Quality,Wildfire,Erosion and Shoreline Recession,Extreme Heat,Flooding – Coastal,Flooding – General","Multiple or All Assets,People",Preparedness & Response,Early warning,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Develop a plan for communicating to the public about seawall projects (e.g., why are they needed, where are they needed).",Flooding – Coastal,Property,"""Policy, Codes, & Standards""",Building Codes,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Develop a program that addresses fire mitigation through access, signage, fire hydrants, water availability, vegetation management, and special building construction standards. ",Wildfire,Multiple or All Assets,Preparedness & Response,Emergency Management,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Develop a program to buy out repetitive loss and high-risk properties.,"Flooding – General,Flooding – Rainfall-induced",Property,"""Managed Retreat, Relocation, & Buyout""",Buyouts,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Develop a program to implement flood preparedness and damage reduction measures in the Community Rating System. Efforts could focus on acquisition, relocation, retrofitting and maintenance of drainage ways and retention basins. Depending on the extent of activities, local flood insurance premiums may be reduced. ",Flooding – General,Multiple or All Assets,Preparedness & Response,Emergency Management,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
